sesja;id;wtp_delay;wtp_risk;wtp_qual;wtp_legal;wtp_ilegal;PISF;Hip;imp_price;imp_delay;imp_qual;imp_legal;imp_qual;judge_good;judge_comf;judge_wise;judge_attr;judge_legal;judge_friends_ok;piracy_impp_ok;piracy_willing_yes;piracy_tech_diff;freq_cinema;freq_dvd;freq_movie_tv;freq_movie_int;freq_movie_il;sex;age;edu;rok_studiow;exp_count;siblings;pop_origin;income
3;369;-1.32812509892058;-4.70523250292805;2.12813142983761;13.8701212370612;13.2717229590706;1;0;1;5;3;4;2;2;4;3;4;1;5;2;5;1;3;2;4;4;2;2;21;2;3;0;1;4;6
3;370;-1.11384632741884;-7.00313732637307;1.23789005037947;4.00719024868627;3.85970987324854;1;0;1;5;3;4;2;4;5;3;3;1;5;4;3;1;2;1;5;5;5;1;24;2;4;0;2;3;9
3;371;-2.39048638570755;-11.9669784261099;9.58496383863632;17.3975342662214;15.2762810137475;1;0;3;4;5;1;2;3;4;3;3;2;2;4;2;1;4;2;5;5;3;1;26;1;6;10;1;5;6
3;372;-0.678220786999661;-14.9271074767572;1.15742597463476;2.40602619859892;1.63716763457382;1;0;2;5;1;4;3;3;5;4;5;2;4;3;5;1;3;1;2;3;5;1;24;1;5;2;2;1;6
3;373;-2.51589351808719;-4.79537889503418;6.11581559622926;-52.6416356814351;-58.159858385493;1;0;3;4;2;1;5;3;5;2;5;2;4;2;3;1;3;1;3;4;4;2;30;3;7;3;4;2;7
3;374;-0.750878776019018;-42.8822766278193;7.14278207804256;21.5937916739143;21.2270612280397;1;0;3;2;1;5;4;3;5;4;4;1;4;4;5;1;3;1;3;4;3;2;25;3;7;7;0;5;7
4;451;-0.812331610938293;-16.9411110098788;4.30334109929586;28.7710038916583;29.2930262524242;0;1;2;5;4;1;3;2;3;1;4;1;5;2;3;1;3;3;6;4;2;1;23;1;3;0;3;5;4
4;452;-1.30800808493518;-12.649454459603;11.6068206401939;63.1937903072324;52.6213402779618;0;1;2;5;3;4;1;3;5;3;3;2;5;5;5;2;4;1;1;2;5;1;23;1;4;5;1;3;4
4;453;-2.09888172753815;-17.2618391817698;17.0318955544538;38.2808167612332;31.3663489964928;0;1;2;4;1;5;3;4;5;4;5;2;5;4;4;1;3;2;4;1;5;1;25;2;6;3;0;2;6
4;454;-0.786705998675737;-16.0819321181385;2.84575597328907;14.0472577948936;13.5887687022515;0;1;4;5;3;1;2;1;5;2;3;2;5;2;5;1;4;2;4;2;3;2;24;2;4;0;1;1;5
4;456;-1.72659695454388;-14.1310943848318;5.85247595235615;9.33868979407577;5.37165329721846;0;1;2;3;1;4;5;3;5;2;4;3;5;3;4;1;3;1;5;4;3;2;25;2;5;4;2;5;7
4;457;-12.2886383500242;-3.67223624653936;33.1971455496257;17.8133376952486;10.3451731664087;0;1;1;5;4;3;2;3;5;5;5;1;5;5;5;1;3;2;2;1;4;1;26;2;5;4;1;4;4
4;458;-1.64006141255736;-19.1840217685583;12.3901205289979;31.7130402300229;28.446385672231;0;1;3;5;2;4;1;3;5;4;4;3;5;4;5;1;4;2;5;2;5;1;22;1;3;5;2;2;7
4;459;-1.66209154650086;-13.6382954094457;14.2049212858844;54.3463090355867;39.5471457864797;0;1;1;5;3;4;2;3;5;4;4;3;5;4;5;1;3;1;3;2;4;1;28;3;7;6;2;1;3
4;460;-0.735312343663468;-18.5741696535737;3.90504209119863;16.8822661102544;15.5169013301601;0;1;3;1;4;5;2;1;5;2;5;1;5;4;3;1;4;2;3;3;4;2;23;1;3;0;1;2;3
4;461;-1.55729567594829;-9.12767764712128;4.91176704801847;17.8623417301516;15.1811907732328;0;1;1;4;2;5;3;4;5;3;5;2;5;4;4;1;3;1;5;1;3;2;21;1;3;3;1;5;8
4;462;-3.47187244944723;-6.99323926203643;9.99240562681948;33.9197877067175;34.4220638363805;0;1;4;5;3;2;1;5;5;5;5;2;4;4;2;3;2;2;3;4;6;2;24;2;5;4;1;1;2
4;463;-1.41146278398208;-5.37634071956861;2.30112045849663;9.88375519344668;9.33159236231841;0;1;1;3;4;5;2;5;5;5;5;3;5;5;5;1;2;1;1;1;2;1;24;1;4;2;0;5;5
4;465;-0.775235226405415;-13.8214437646235;2.91959135668081;13.5430977315666;12.0329410807903;0;1;3;2;1;5;4;3;5;5;5;2;5;3;5;1;3;1;2;1;4;2;25;1;7;0;1;5;7
4;466;-0.755457231585612;-8.15411402900473;1.18071426417825;5.07875297735701;4.99764826484156;0;1;2;3;4;5;1;4;5;3;3;2;5;4;4;1;4;1;3;1;6;2;20;1;1;0;1;5;4
4;467;-13.7897717181215;-4.29932612443191;28.9089484406833;18.0178446429504;12.1023037141514;0;1;2;5;3;4;1;3;5;3;1;1;5;4;4;1;3;1;5;5;5;1;23;1;5;4;1;3;5
4;468;-1.91487271397963;-7.20524172666254;5.21469044161699;15.2177367763686;13.8689974512333;0;1;1;5;2;4;3;1;2;3;1;1;5;2;1;2;3;2;2;3;1;1;25;1;5;0;2;1;3
4;469;-2.51193296444805;-7.16596489172017;9.23664186038725;43.3147774550264;41.9173942524213;0;1;4;2;1;3;5;3;5;3;5;1;4;5;5;1;4;2;5;4;5;1;24;3;7;2;0;4;7
4;470;-0.868213774248145;-9.57679664106236;1.89322679338628;5.45361932040099;4.06892006249186;0;1;1;3;5;4;2;3;5;4;4;2;4;4;5;1;3;1;3;1;4;2;23;1;4;0;3;5;4
4;472;-2.32434345579387;-9.22140227932328;7.05747858710271;11.1604905500106;8.98913428187159;0;1;4;3;5;1;2;2;4;4;4;5;5;5;5;1;3;2;5;3;2;1;23;2;2;4;1;5;7
4;473;-1.64675577092042;-21.7893181394606;13.2760124071461;30.8473335285817;26.5481642216246;0;1;2;4;1;5;3;2;5;3;5;1;5;5;5;1;2;2;4;4;5;1;26;1;4;8;0;5;9
5;550;-2.3468739173307;-5.33231617940996;6.69022999227141;-10.9378914265917;-19.0227993497322;1;1;3;5;2;4;1;3;5;3;5;1;5;3;4;1;3;1;2;4;3;2;21;1;3;0;1;5;5
5;551;-0.665677139574033;-17.938518207917;2.5566906255914;7.22844593533193;5.64244428034787;1;1;4;5;1;3;2;2;5;2;5;1;5;2;4;1;4;3;5;6;1;2;22;2;4;0;1;1;3
5;552;-5.29414271236411;-7.09715312327253;19.9655656900682;42.0257508752534;38.5747765800626;1;1;5;3;1;2;4;2;4;3;3;1;4;4;4;1;4;2;4;4;3;1;23;2;5;0;2;1;4
