market_value;age;height;weight;goals_CL;goals_UEFA;goals_cups;goals_top5l;goals_rest;goals_nat;app_nat;games_start;subs;assists;shots_tot;shots_on_gs;top_spa;top_ita;top_eng;top_ger;top_fra;rank;popularity;name
4.6;21;182;76;0;0;1;9;0;0;0;21;21;4;55;26;0;0;0;0;0;354;3.1;riviera
4.5;24;192;88;0;0;6;0;30;0;0;61;7;0;31;30;0;0;0;0;0;876;0.291;giroud
2.7;28;174;72;0;0;0;10;9;4;17;63;48;3;71;53;0;0;0;0;0;768;0.17;camara
3.2;22;175;65;0;0;0;5;6;0;0;44;17;4;47;24;0;0;0;0;0;1156;1.12;ait-fana
5.5;22;186;73;0;0;0;3;21;0;0;54;26;0;86;41;0;0;0;0;0;1300;1.08;modeste
5.5;24;175;70;0;0;0;17;0;0;0;81;31;14;178;67;0;0;0;0;0;636;0.299;goufran
10.0;23;170;64;0;0;0;34;0;0;2;93;13;14;251;107;0;0;0;0;0;209;0.331;gameiro
3.0;22;177;72;0;0;0;13;0;0;0;28;14;1;20;5;0;0;0;0;0;814;0.066;kitambala
3.5;24;185;76;0;0;0;15;0;3;16;53;35;15;111;36;0;0;0;0;0;333;0.094;maiga
1.2;24;180;75;0;0;0;0;12;0;0;14;21;1;22;15;0;0;0;0;0;2249;2.18;pentecote
4.0 ;22;180;70;0;0;0;2;0;0;1;17;0;0;41;16;0;0;0;0;0;317;0.291;ideye
3.6;23;192;78;0;0;2;0;15;0;0;30;7;0;45;15;0;0;0;0;0;913;1.26;roux
1.2;30;184;76;0;1;0;0;10;0;0;71;36;0;20;10;0;0;0;0;0;1134;0.085;poyet
5.0;24;183;70;0;0;0;0;11;0;3;23;14;0;25;11;0;0;0;0;0;857;0.652;el-arabi
1.2;30;186;80;0;0;0;0;18;2;8;44;31;1;39;22;0;0;0;0;0;1320;0.223;traore
5.0;31;183;73;0;0;0;30;0;16;57;102;12;11;270;97;0;0;0;0;0;302;0.255;hadijt
5.0;30;170;68;0;0;0;23;0;0;0;93;26;21;213;87;0;0;0;0;0;1163;0.205;vahirua
2.5;32;189;78;0;0;0;16;0;1;18;39;17;3;135;49;0;0;0;0;0;713;0.318;ljuboja
3.3;31;183;70;0;0;0;28;0;0;0;95;35;12;230;81;0;0;0;0;0;365;0.64;pujol
2.6;24;188;84;0;0;0;13;0;1;3;40;42;5;76;27;0;0;0;0;0;1478;0.185;samassa
7.5;29;184;74;0;0;0;43;0;5;29;98;21;6;252;117;0;0;0;0;0;308;0.167;jelen
0.75;27;178;76;0;0;0;7;0;0;0;11;9;2;50;18;0;0;0;0;0;2467;0.102;licata
1.6;24;168;65;0;0;0;6;0;0;0;40;40;2;98;22;0;0;0;0;0;1384;0.116;quercia
3.4;28;185;76;0;7;0;15;0;8;35;98;40;13;233;90;0;0;0;0;0;566;0.418;niculae
6.0;25;183;70;0;0;0;13;0;15;49;57;1;9;103;41;0;0;0;0;0;592;0.733;chu-yang
1.8;27;185;80;0;0;0;10;5;22;51;44;33;1;93;41;0;0;0;0;0;1430;0.079;jemaa
2.2;30;178;67;0;0;10;5;15;0;0;74;30;2;55;26;0;0;0;0;0;2354;0.019;dos santos
1.0;24;176;70;0;0;0;1;2;0;0;40;18;0;21;7;0;0;0;0;0;1125;0.025;djadjede
